"gene","logFoldChange"
"Bradi1g78800.2",1.99318831544733
"Bradi5g19680.1",-2.86239880007128
"Bradi4g12050.1",-1.59367341220472
"Bradi2g53520.1",-3.06682537010599
"Bradi2g54745.1",8.3882821601962
"Bradi3g58341.1",-2.4264904161166
"Bradi4g13580.1",3.07895777138784
"Bradi2g08730.1",8.12824609629496
"Bradi1g25883.1",-3.44460089841699
"Bradi1g57760.1",-1.49373383993484
"Bradi5g22820.1",2.02808365053863
"Bradi2g00280.1",-1.5158708283255
"Bradi4g32830.1",-3.45489810509824
"Bradi5g19330.1",1.98477435864357
"Bradi4g42540.1",-2.22220244965868
"Bradi3g15040.1",3.5154249900787
"Bradi5g23027.4",-2.34157583092163
"Bradi4g28280.1",-1.844508116635
"Bradi1g67830.1",-1.29739673842681
"Bradi5g26725.3",-2.39677165446735
"Bradi5g26320.1",1.86040147023189
"Bradi2g41270.1",-1.10320246372011
"Bradi3g36600.1",-1.50363433808126
"Bradi2g55920.1",-2.83252141107926
"Bradi1g10960.1",-1.30489386942779
"Bradi1g03500.1",2.21332647509571
"Bradi1g57680.2",2.3294484558301
"Bradi2g44180.1",-1.3866467780982
"Bradi2g49490.14",2.40148830743235
"Bradi3g46530.1",-1.54385989932907
"Bradi2g14970.4",-0.923685273617083
"Bradi5g16320.8",-1.17107595155948
"Bradi3g51757.2",-1.78261554841592
"Bradi2g48260.1",-1.05741355812544
"Bradi1g47180.1",-1.55756996598266
"Bradi3g39300.1",8.06168800930861
"Bradi4g16083.1",-2.51265342952024
"Bradi1g16480.1",-1.40893949771803
"Bradi4g05650.1",4.81585484167983
"Bradi4g39160.1",2.12921007454531
"Bradi3g40950.1",-1.28356870273633
"Bradi4g29830.1",-1.08037602699586
"Bradi1g34600.1",3.81094925590503
"Bradi4g41616.1",3.71487466502256
"Bradi1g58220.4",-1.48384507419274
"Bradi2g16261.7",7.22536632627172
"Bradi1g64850.1",-1.1070370940892
"Bradi2g56760.1",1.61644344444446
"Bradi4g10500.2",-2.27538328834788
"Bradi4g29650.1",-1.09444922514043
"Bradi3g55500.1",1.91053740937201
"Bradi4g16970.1",1.66821649252725
"Bradi4g30710.1",-1.7624928303795
"Bradi2g46400.1",4.94218367432218
"Bradi1g65910.6",-1.09718453381655
"Bradi2g27050.1",-2.07353151657152
"Bradi1g70920.1",-1.75844669430113
"Bradi2g08707.1",1.53340523032191
"Bradi2g14790.5",-1.82988661124731
"Bradi2g54920.4",2.04824495731811
"Bradi1g08907.2",-2.0263147137748
"Bradi1g26800.2",1.97445019161432
"Bradi1g33950.1",2.4051736130405
"Bradi2g21188.1",-2.11118143227186
"Bradi3g39110.1",-1.1526030393657
"Bradi1g14700.6",-1.61341485888943
"Bradi1g14660.1",1.69198703368946
"Bradi1g30870.1",-2.81049770536028
"Bradi3g17252.2",-1.60329152947625
"Bradi2g25527.12",1.53990943885615
"Bradi4g32090.1",-1.10791298707169
"Bradi2g53580.1",1.25668102513492
"Bradi3g44010.1",-1.45045629308548
"Bradi2g57107.5",-1.33258088388204
"Bradi3g19730.4",3.00770884679159
"Bradi2g07577.1",1.30710883312737
"Bradi3g37130.4",1.40739059337583
"Bradi3g49410.3",2.47218552670055
"Bradi2g08790.1",1.3464118232819
"Bradi2g21190.2",-1.89921339454248
"Bradi1g57000.1",-1.59315266075965
"Bradi1g49560.1",-4.50979284392073
"Bradi2g48890.1",-1.53695747072118
"Bradi1g26000.2",-2.05919974009047
"Bradi1g60817.3",-1.08762341362633
"Bradi4g31440.4",-0.807816489360852
"Bradi3g16040.1",-1.23112056201752
"Bradi3g23180.1",-3.14410649251625
"Bradi5g01410.2",-0.877638784072898
"Bradi1g29481.1",-1.20653713486237
"Bradi5g22007.1",-1.27727537586078
"Bradi4g31930.1",-0.995247330525137
"Bradi4g34890.1",-4.00726972079895
"Bradi1g15290.1",-1.80386449621166
"Bradi1g63610.2",1.21629045079381
"Bradi1g65590.1",2.27190066411868
"Bradi3g59460.2",1.05329813424485
"Bradi4g09920.2",-1.20877193314836
"Bradi1g18650.1",-0.997598234476845
"Bradi2g03717.1",-1.00102098525807
"Bradi1g03686.1",-2.48158704248749
"Bradi1g44920.1",1.42041177416928
"Bradi1g78710.1",-0.978608605964119
"Bradi3g47232.1",-2.29952188110094
"Bradi3g36760.1",-1.39700858502976
"Bradi3g18248.3",-3.07897554853192
"Bradi5g22930.2",-2.06597627468463
"Bradi4g30060.2",-1.55597964990335
"Bradi5g11060.2",1.39637933505947
"Bradi2g46093.1",-1.79892565941861
"Bradi2g56037.1",1.68682858878265
"Bradi2g21420.1",1.08384332696492
"Bradi2g35860.1",-1.28103453375413
"Bradi1g76330.1",-1.27593849683878
"Bradi4g27570.2",-1.33023927954704
"Bradi3g07558.1",1.80704305210085
"Bradi2g18095.2",-1.73777104377415
"Bradi2g53620.1",-1.77911448964717
"Bradi3g28307.1",7.75101755931682
"Bradi1g71920.1",-1.63055730579645
"Bradi3g59210.1",5.7581228061565
"Bradi1g06300.4",-1.53484794959084
"Bradi1g49470.1",-1.42250757278464
"Bradi2g19350.1",2.3120941363046
"Bradi4g31460.1",-1.00204805232144
"Bradi4g19634.1",1.62081785087345
"Bradi3g12570.1",8.11432718740304
"Bradi3g17287.1",1.58585114775443
"Bradi5g12150.1",-1.44285554404797
"Bradi4g20240.3",1.7720697559717
"Bradi2g15410.1",-1.88705500829244
"Bradi1g44170.1",-2.12254744590959
"Bradi4g36517.2",-2.06374966103827
"Bradi1g15400.1",-1.09251849694428
"Bradi1g60397.4",-0.946809766737385
"Bradi1g67755.1",4.4748153538618
"Bradi3g38270.5",1.06714809789168
"Bradi4g17958.1",-7.09506055941997
"Bradi4g26342.1",-1.49795710551502
"Bradi4g37210.2",-1.68667653877444
"Bradi1g43710.1",-1.70963601469994
"Bradi1g25447.3",-1.9635712967576
"Bradi3g56335.1",-2.26330018573654
"Bradi1g41957.2",-1.46445144742512
"Bradi4g37450.1",-1.23448813104541
"Bradi3g17722.4",-2.9761913648381
"Bradi3g44900.1",-1.86595371498355
"Bradi1g72440.1",-2.48760309619446
"Bradi1g24770.1",3.06582410809127
"Bradi4g35890.1",-2.01851240970248
"Bradi3g10770.5",-1.55002366545911
"Bradi3g52400.1",-0.968223902846384
"Bradi3g55210.1",-0.867168150145949
"Bradi2g34980.2",-1.60032001538387
"Bradi3g58010.1",6.71721105465108
"Bradi2g10770.3",-0.849437476576008
"Bradi4g21170.1",-1.52205054961256
"Bradi2g01600.1",-4.03084723740716
"Bradi4g43460.2",-2.37336148798967
"Bradi2g56145.1",3.43181350896544
"Bradi1g54650.2",-1.41849126480208
"Bradi2g31130.1",-1.39857643507169
