"gene","logFoldChange"
"Bradi2g06840.1",-2.29711483869524
"Bradi2g60000.1",-3.22083757999124
"Bradi2g13610.4",-1.24591973274922
"Bradi4g36690.1",0.92494258168402
"Bradi1g33827.1",-1.46529308928229
"Bradi1g10480.1",1.04865452437921
"Bradi1g15547.1",3.39765347159086
"Bradi3g47010.3",-1.34177848930294
"Bradi4g18350.1",1.50030973280833
"Bradi1g76190.1",-0.90584730554685
"Bradi2g56760.1",1.35721790998509
"Bradi4g23695.1",1.43613686363774
"Bradi2g02310.1",-1.79001348746391
"Bradi1g72457.1",2.50749352187748
"Bradi2g34890.1",-5.34184710438879
"Bradi2g35850.1",-1.55127462393712
"Bradi2g02623.1",1.95407072509842
"Bradi1g17840.1",2.61155837992808
"Bradi1g35697.6",0.911973377846033
"Bradi1g64630.2",0.808639430258982
"Bradi2g19970.1",-1.15725854174511
"Bradi2g47400.1",-2.21963766190584
"Bradi1g29040.1",-1.37277238526659
"Bradi4g06410.1",1.44322720337912
"Bradi4g05770.1",1.55033050880424
"Bradi1g13060.1",4.40171243255602
"Bradi1g33860.1",0.998484009471688
"Bradi5g12580.1",1.41753865642402
"Bradi3g20810.1",1.08257832710272
"Bradi1g23746.1",1.64765574395961
"Bradi3g18650.1",1.01887073524305
"Bradi5g19130.1",-1.48747432968484
"Bradi5g11370.1",-1.28918040121921
"Bradi5g00891.4",1.53292777172325
"Bradi1g38100.1",-1.47061049197202
"Bradi3g40950.1",-1.01709098536824
"Bradi4g42150.1",-3.45493712885668
"Bradi1g04957.1",-1.14951816727022
"Bradi1g71880.1",1.81645400749924
"Bradi1g44137.4",-1.00810771731268
"Bradi1g55830.1",2.24300866377536
"Bradi1g49570.1",-3.91164334515588
"Bradi3g41510.1",1.05832055881675
"Bradi1g72007.1",1.35911067768542
"Bradi1g78790.1",2.05833554447781
"Bradi3g45260.1",-0.860669509534001
"Bradi2g04910.1",0.904639570387037
"Bradi2g24420.3",-1.37002983276595
"Bradi2g46240.6",-0.954391534599042
"Bradi1g62420.1",-0.890678485371557
"Bradi2g21188.1",-1.68731416419605
"Bradi3g29620.1",-1.75696252673699
"Bradi5g26320.1",1.37089870315231
"Bradi5g02810.2",2.84598044127744
"Bradi1g05778.1",-0.97908885073195
"Bradi5g09420.1",1.77282367167424
"Bradi5g02820.2",4.7894667368416
"Bradi2g55920.1",-2.08971687884378
"Bradi5g25730.1",-0.677838024861726
"Bradi3g19560.1",-1.35244802308922
"Bradi1g08907.2",-1.6052762417073
"Bradi1g18650.1",-0.832634120653437
"Bradi1g04970.2",1.92399486472207
"Bradi1g76460.1",0.941188837253877
"Bradi2g06670.1",1.79689998565055
"Bradi3g43670.2",-4.3695511748446
"Bradi2g48250.1",0.78501377379437
"Bradi1g35730.1",1.23314798815323
"Bradi4g36954.1",-3.70582371390173
"Bradi2g58950.2",0.781654894293861
"Bradi3g11050.1",-1.74800553689641
"Bradi3g46530.1",-1.14767232932834
"Bradi4g32850.1",1.07841061499426
"Bradi4g34200.1",1.11758692085132
"Bradi1g16480.1",-1.06907543885052
"Bradi5g00970.1",2.09636865882448
"Bradi1g25937.1",2.26840848351194
"Bradi2g31130.1",-1.22626096206898
"Bradi1g29481.1",-0.983973276061815
"Bradi1g62910.1",-4.66508789268617
"Bradi3g52390.1",-0.751714966188976
"Bradi3g35670.1",3.6147783966038
"Bradi3g37500.2",1.17756846335496
"Bradi2g04180.6",-0.90100689499134
"Bradi3g44190.3",1.48234171079007
"Bradi1g38340.1",1.1242030898113
"Bradi1g25187.1",1.77383076022183
"Bradi4g30380.7",-1.17441615574279
"Bradi2g54222.1",2.64643061647566
"Bradi1g57000.1",-1.27482264293638
"Bradi1g71820.1",-1.08593458015442
"Bradi3g58915.1",1.40503388025301
"Bradi3g50190.1",-2.39108538086311
"Bradi1g05460.1",2.1865057313081
"Bradi1g71373.1",-1.07789709904011
"Bradi5g24257.2",-1.30530707771802
"Bradi3g34720.3",1.65507402313903
"Bradi3g60740.3",1.26760039743649
"Bradi1g08421.1",0.872656069430264
"Bradi2g24737.4",-0.89704386286026
"Bradi1g11450.1",-5.69065602048125
"Bradi4g01601.1",-1.39041424589553
"Bradi1g07310.3",-4.08812070992051
"Bradi1g16010.1",4.42383860781911
"Bradi1g43365.1",1.24626331313394
"Bradi1g78246.1",1.36393338580739
"Bradi3g56835.1",2.19000869665371
"Bradi1g27197.1",-1.09216457570226
"Bradi4g22785.1",3.3775879380848
"Bradi4g41740.1",4.4921477137596
"Bradi2g55650.1",1.24303852845792
"Bradi5g05430.1",1.13718667638271
"Bradi4g21724.10",1.34119460563705
"Bradi2g59920.1",-1.0173977568582
"Bradi3g34772.1",2.16738874460358
"Bradi5g15960.7",-1.37156602004601
"Bradi4g35890.1",-1.68903063562943
"Bradi2g05900.1",0.943580229532218
"Bradi2g60450.1",-0.980696639219536
"Bradi3g30220.1",1.55722971240717
"Bradi1g32370.1",1.12165135887977
"Bradi4g12050.1",-1.03252014454358
"Bradi3g22820.1",1.31389054285279
"Bradi1g74350.3",-1.2895799338798
"Bradi3g51757.2",-1.28063477129381
"Bradi1g14200.1",-1.40170160277153
"Bradi1g43417.1",-1.55156842708452
"Bradi4g35820.1",-1.20045926312877
"Bradi2g20830.1",-3.08319083100212
