HJ8s_33_S1 HJ28s_17_S3 HJ35_22s_34 HJ100s_26_S5 HJ154s_28_S6 HJ170s_35_S7 HJ172s_31_S8 HJ183s_32_S9
Bradi5g23932.1 0 0 0 0 0 0 0 0
Bradi5g23934.1 0 0 0 0 3 0 3 0
Bradi5g23936.1 0 17 3 10 11 7 0 9
Bradi5g23940.1 1088 967 168 822 1893 1110 769 828.002
Bradi5g23947.1 0 1 0 7 4 0 2 5
Bradi5g23956.3 19 0 0 3 5 0 0 0
Bradi5g23964.1 0 0 0 0 0 0 0 0
Bradi5g23970.2 203 253 18 176 549 265 187 275
Bradi5g23973.1 17 3 0 2 5 8 1 9
Bradi5g23976.2 444 349 42 356 922 438 367 330
Bradi5g23984.2 10 4 2 0 16 10 4 3
Bradi5g23989.1 0 0 0 0 0 0 0 0
Bradi5g23992.1 0 0 0 0 0 0 0 0
Bradi5g24000.1 0 2 0 0 0 0 0 0
Bradi5g24020.1 401.005 443.005 104 335.039 1012 816.019 391.953 573
Bradi5g24027.1 31882.995 26074.995 6364 18290.961 64442 25750.981 16828.047 22551
Bradi5g24040.1 618.999 367 167 501 1157 651 384 1025
Bradi5g24050.1 840 686 143 582 1630 1030 626 733
Bradi5g24060.1 372 214 31 232 592 243 211 464
Bradi5g24065.1 192 133 64 133 363 158 98 78
Bradi5g24070.1 95 80 21 45 196 127 59 94
Bradi5g24080.2 8 43 4 2 43 7 34 15
Bradi5g24090.5 1134 805 54 530 2170 968 421 882
Bradi5g24093.1 93 72 14 22 138 48 62 55
Bradi5g24096.1 46 53 24 112 221 158 110 189
Bradi5g24100.1 891 582 173 701 1730 726 566 687
Bradi5g24110.1 464 522 71 487 868 1068 609 604
Bradi5g24120.1 1655 1205 143 649 2061 695 570 931
Bradi5g24125.1 0 0 0 0 0 0 0 0
Bradi5g24130.2 10 23 10 9 65 29 7 15
Bradi5g24140.3 489.003 677 137 326 1371.018 723 417.023 467
Bradi5g24153.1 0 0 0 0 2 0 0 0
Bradi5g24160.1 253 246 39 208 391 302 302 206
Bradi5g24170.3 692 483 108 270 856 591 457 641
Bradi5g24180.6 116.815 50 2 47 107 88 60 66
Bradi5g24190.1 120.001 75 0 40 66 46 48 57
Bradi5g24200.1 0 3 13 3 8 0 5 0
Bradi5g24207.1 975.379 805.387 169.148 511.59 2046.038 1238.465 768.076 726.066
Bradi5g24220.1 1007.214 494.029 210.928 762.935 1354.796 1664.64 687.47 858.862
Bradi5g24223.1 0 0 0 0 0 0 0 0
Bradi5g24227.1 1640 918 295 2556 7016 838 504 644
Bradi5g24240.1 851.277 516.404 82.996 391.707 1093.42 611.81 409.843 680.746
Bradi5g24250.1 252 298 44 176 504 246 201 212
Bradi5g24257.2 74 49 11 124 287 91 78 83
Bradi5g24268.3 2514.673 1348.547 204.262 1871.435 4078.335 1438.735 1282.895 2752.895
Bradi5g24275.1 119 25 4 40 82 69 29 34
Bradi5g24282.1 0 0 0 0 0 0 0 0
Bradi5g24290.1 1019 616 296 1055 2289 1338 893 1614
Bradi5g24300.1 0 0 0 0 0 0 0 0
Bradi5g24311.1 48.185 42 6 25 124 58 46 60
Bradi5g24320.3 0 0 0 2 4 0 0 8
Bradi5g24331.2 125 67 37 67 185 58 31 20
Bradi5g24351.1 8 23 8 15 65 26 21 20
Bradi5g24360.2 69 71 30 62 95 145 390 73
Bradi5g24370.1 4545 2493 323 2421 6352 3429 2285 3362
Bradi5g24380.1 20 3 0 3 4 18 9 12
Bradi5g24387.3 1139 868 89 466 1764 780 493 763
Bradi5g24397.1 1243 1137 305 885 2492 1718 981 1022
Bradi5g24410.5 5191 7519 1143 3289 13242 5328 3841 4094
Bradi5g24415.11 0 1 1 7 14 3 4 13
Bradi5g24420.2 361 298 60 281 812 464 363 372
Bradi5g24430.1 438.997 290 94 166 1293.982 408 309.977 322
Bradi5g24433.1 0 0 0 0 0 0 0 0
Bradi5g24436.1 0 0 0 0 0 0 0 0
Bradi5g24450.4 439 226 208 675 831 425 288 507
Bradi5g24460.1 317 195 27 455 1442 361 182 225
Bradi5g24470.1 1120 939 135 643 1862 1093 873 964
Bradi5g24480.1 0 0 0 1 0 0 0 0
Bradi5g24490.4 497 459 47 303 879 336 201 378
Bradi5g24500.1 0 0 0 0 0 0 0 0
Bradi5g24507.3 7 6 4 23 55 13 15 10
Bradi5g24513.1 34 11 8 18 76 31 15 12
Bradi5g24520.1 0 0 0 0 3 0 3 2
Bradi5g24530.1 1328 1142 217 636 2370 1177 670 882
Bradi5g24542.4 111 95 18 67 219 105 91 76
Bradi5g24550.4 11665 12195 2339 9031 25641 10338 5623 6661
Bradi5g24560.3 389 194 114 298 722 376 169 337
Bradi5g24565.1 78 64 35 80 155 93 55 100
Bradi5g24570.1 22 7 2 9 38 3 1 8
Bradi5g24580.1 788.362 617.629 142.888 506.272 1412.349 838.449 500.744 697.568
Bradi5g24590.1 821.638 618.371 31.112 556.728 1384.651 522.551 365.256 526.432
Bradi5g24595.1 0 0 0 0 0 0 0 0
Bradi5g24600.1 314 244 56 202 536 217 142 233
Bradi5g24610.4 2171 1822 181 1618 5084 2694 1485 1963
Bradi5g24622.1 309 353 171 137 668 560 270 170
Bradi5g24630.3 17 11 7 60 74 27 11 13
Bradi5g24640.1 194 131 41 258 459 189 79 50
Bradi5g24650.1 214 137 30 76 334 180 247 146
Bradi5g24660.1 474 598 136 244 877 461 289 403
Bradi5g24670.1 151 95 44 112 210 119 69 185
Bradi5g24675.2 3 3 0 2 4 3 0 0
Bradi5g24680.1 3450.878 3622.959 955.382 2283.501 8049.863 4630.62 3530.454 3600.631
Bradi5g24681.1 18 0 0 0 13.67 9 5 8
Bradi5g24683.1 0 0 0 0 0 0 0 0
Bradi5g24690.2 25632 19335 3219 13428 38136 16863 12201 18494
Bradi5g24696.1 0 0 0 0 0 0 0 0
Bradi5g24700.1 0 0 0 0 0 0 0 0
Bradi5g24710.1 0 0 0 0 9 0 0 0
Bradi5g24720.1 0 0 0 0 4 0 0 3
Bradi5g24730.3 1913 1333 148 951 2906 1387 822 1186
Bradi5g24737.1 0 0 0 0 0 0 0 0
Bradi5g24750.3 0 0 0 0 0 0 1 0
Bradi5g24760.1 428 304 119 228 845 214 75 157
Bradi5g24766.1 9 3.98 0 2 14 10 2 2
Bradi5g24770.1 218 180 62 210 782 197 140 192
Bradi5g24775.2 0 0 0 0 1 0 0 0
Bradi5g24780.1 0 0 0 0 0 0 0 0
Bradi5g24790.2 0 0 0 0 0 0 0 0
Bradi5g24800.1 21.477 27.617 11.869 35.648 37.079 67.09 14.339 42.021
Bradi5g24810.1 346.523 172.383 73.131 203.352 350.921 279.91 147.661 200.979
Bradi5g24820.1 1761 1201 122 866 2944 1234 689 978
Bradi5g24825.1 3 4 0 5 7 3 3 3
Bradi5g24826.1 0 0 0 0 0 0 0 0
Bradi5g24827.1 0 0 0 0 0 0 0 0
Bradi5g24830.1 388 231 67 228 630 394 183 326
Bradi5g24834.1 0 0 0 0 0 0 0 0
Bradi5g24836.5 442 286 42 329 657 298 225 294
Bradi5g24843.1 239 214 66 187 474 257 185 298
Bradi5g24850.1 3830 2997 658 2247 6703 3861 2404 3179
Bradi5g24856.1 21 13 0 9 26 20 1 13
Bradi5g24862.1 0 2 0 0 0 0 0 8
Bradi5g24870.6 1547 1040 93 863 2616 877 551 1197
Bradi5g24876.1 608 360 97 214 859 590 327 433
Bradi5g24880.1 45 62 52 30 188 92 47 81
Bradi5g24890.1 393 484 49 347 1220 486 387 475
Bradi5g24895.1 499.247 397.33 44.577 348.603 1017.472 514.198 270.681 334.914
Bradi5g24902.2 108.753 195.67 10.423 123.397 298.528 166.802 97.319 124.086
Bradi5g24907.1 0 0 0 0 5.968 0 0 3.731
Bradi5g24910.3 258 392 88 226 879 631 409 255
Bradi5g24913.1 72 36 6 14 80 23 15 21.002
Bradi5g24917.3 0 3 0 10 17 3 11 11
Bradi5g24930.1 1319 733 108 657 1421 1028 836 859
Bradi5g24937.9 999 402 51 384 903 396 286 646
Bradi5g24950.6 656 451 53 298 773 435 291 353
Bradi5g24960.1 2744 3264 584 1892 6617 2957 1994 2486
Bradi5g24967.1 267 138 33 121 295 173 129 90
Bradi5g24980.1 522 361 90 290 917 556 296 252
Bradi5g24990.1 160 135 35 158 342 249 124.999 252
Bradi5g25000.1 35 21 3 16 117 56 31.001 33
Bradi5g25010.1 16 0 0 0 1 0 0 0
Bradi5g25021.1 0 0 0 0 0 0 0 0
Bradi5g25030.1 147 67 3 87 397 53 33 54
Bradi5g25040.1 1271 1896 803 1132 6232 1625 722 603
Bradi5g25050.1 0 22.37 7.001 10.242 35.276 1.642 1.244 19.882
Bradi5g25061.2 33 10.63 2.999 19.758 51.724 14.358 28.756 35.118
Bradi5g25070.2 1677 1181 150 1199 2758 1409 976 1334
Bradi5g25080.1 912 826 125 620 2050 1286 776 885
Bradi5g25090.1 3884 2695 314 2557 6374 3205 1882 4325
Bradi5g25100.1 450 350 46 272 706 452 194 398
Bradi5g25110.3 289 241.503 23 166 656.002 336.104 186 189
Bradi5g25111.1 128.053 98 1 56.326 198.001 78.006 68.044 65
Bradi5g25112.1 143.947 75 4 74.674 235.999 80.994 87.956 190
Bradi5g25113.1 0 0 0 0 0 0 0 0
Bradi5g25117.2 0 1 0 0 5 0 0 1
Bradi5g25130.5 412 263 20 431 832 481 366 466
Bradi5g25140.1 0 1 2 1 13 7 0 6
Bradi5g25150.2 3 10 2 3 26 2 5 11
Bradi5g25151.3 10 7 8 2 17 9 11 11
Bradi5g25152.3 12 7 1 9 32 20 27 10
Bradi5g25153.1 315 215 41 187.004 623 256 247 271
Bradi5g25157.1 45 103 6 44 143 60 63 54
Bradi5g25166.1 0 0 0 0 0 0 0 0
Bradi5g25176.1 163 63 6 80 145 87 48 73
Bradi5g25185.1 31 11 4 6 17 7 11 7
Bradi5g25200.2 0 0 0 0 0 0 0 0
Bradi5g25205.1 1.243 1.498 0 18.38 30.886 12.003 6.08 3.007
Bradi5g25220.1 0 0 0 0 0 0 0 0
Bradi5g25228.1 0 0 0 0 0 0 0 0
Bradi5g25236.1 0 4 0 0 28 3 5 4
Bradi5g25248.1 0 0 0 0 1 0 0 0
Bradi5g25260.1 0 0 0 0 0 0 0 0
Bradi5g25270.1 389 299 121 362 691 544 357 419
Bradi5g25278.1 179 255 73 146 589 376 259 221
Bradi5g25284.4 536.801 502.708 88.005 381.816 1076.395 565.03 360.864 378.606
Bradi5g25291.4 107.218 116 20 95.332 225 109 113 83
Bradi5g25300.1 772 575 87 591 1335 935 600 784
Bradi5g25310.1 602.834 391 71 448 1128 429 327 478
Bradi5g25320.3 95.166 121 24 55 242 88 46 62
Bradi5g25325.1 12 5 0 6 7 11 7 4
Bradi5g25330.1 0 0 0 0 0 0 0 0
Bradi5g25340.1 478 578 99 354 1202 503 419 449
Bradi5g25350.1 1121 834 123 623 1773 744 578 858
Bradi5g25360.1 0 0 0 0 0 0 0 0
Bradi5g25365.1 56 45 7 33 67 51 41 45
Bradi5g25371.1 7 6 0 9 0 3 15 26
Bradi5g25376.2 0 4 0 0 31 5 4 0
Bradi5g25382.1 0 1 0 2 24 2 0 3
Bradi5g25390.1 1165 581 43 695 1676 739 527 1040
Bradi5g25400.1 212 187 31 115 339 218 216 172
Bradi5g25403.1 63 74 16 49 111 59 46 89
Bradi5g25407.1 0 0 0 0 1 0 0 0
Bradi5g25417.1 19 12 0 2 12 3 0 5
Bradi5g25422.1 0 0 0 0 0 0 0 0
Bradi5g25427.2 110 121 7 130 328 103 92 114
Bradi5g25440.1 1213 1644 332 558 2380 1024 417 730
Bradi5g25450.1 374 379 45 304 873 313 211 311
Bradi5g25460.1 7624 6925 1387 4795 14642 6679 5003 5245
Bradi5g25467.2 284 270 56.645 190.563 505 232 179 211
Bradi5g25480.1 456 194 38.355 186.437 493 274 206 282
Bradi5g25490.2 91 43 10 62 147 87 79 81
Bradi5g25495.1 0 0 0 3 0 2 0 0
Bradi5g25500.1 3567 2508 326 2078 4192 2725 1867 2587
Bradi5g25506.1 280 280 30 232 1003 416 235 240
Bradi5g25512.3 167 154 18 131 364 79 71 122
Bradi5g25522.1 0 21 9 16 61 10 15 24
Bradi5g25531.2 104 110 13 79.084 323 95 57 95
Bradi5g25540.1 462 446 89 347.916 792 330 171 268
Bradi5g25547.1 82 64 37 68 191 86 115 60
Bradi5g25560.1 0 0 0 0 0 0 0 0
Bradi5g25565.2 0 0 0 0 0 0 0 0
Bradi5g25570.1 37 37 41 204 1010.004 131 44 69
Bradi5g25580.1 11 17 6 12 31 49 23 28
Bradi5g25585.1 378 299 110 409 876 567 557 528
Bradi5g25593.1 212 273 65 243 543 320 264 229
Bradi5g25601.1 88 181 65 79 418 228 137 170
Bradi5g25610.1 2349 1514 292 1141 2982 1587 1251 1422
Bradi5g25620.1 529 370 67 340 1129 563 339 439
Bradi5g25630.1 87 93 30 44 175 150 93 167
Bradi5g25637.1 497 453 93 432 837 689 594 556
Bradi5g25650.1 179 165 26 135 301 160 110 106
Bradi5g25660.1 175 107 15 105 209 75 50 110
Bradi5g25667.1 790 1182 147 548 1636 651 454 576
Bradi5g25671.1 0 21.768 9 17.329 41.523 14.509 11.648 9.492
Bradi5g25676.1 0 0 0 5 2 1 6 8
Bradi5g25680.3 540.972 418.232 93 344.671 838.477 520.491 357.352 320.508
Bradi5g25691.1 0 0 8 0 0 1 3 0
Bradi5g25700.1 12 13 0 4 50 24 6 14
Bradi5g25710.1 935 522 95 642 1507 765 544 852
Bradi5g25720.4 1353 1160 180 672 3206 1244 563 698
Bradi5g25730.1 3502 2841 473 3462 10524 1675 1070 1704
Bradi5g25740.1 334 355 60 547 1002 511 381 646
Bradi5g25750.2 954 916 192 579 1620 808 733 682
Bradi5g25760.1 1160 808 102 550 1624 750 550 687
Bradi5g25767.1 1665 873 75 717 2050 1063 894 1322
Bradi5g25780.1 144 140 15 40 173 86 57 116
Bradi5g25790.1 111 83 29 159 316 132 114 186
Bradi5g25795.1 0 8 2 11 17 0 11 15
Bradi5g25800.1 470.001 422 42 269.993 640 241.185 139.158 165.995
Bradi5g25810.1 291 244 26 173 414 299 226 215
Bradi5g25817.1 20 20 3 34 58 38 25 35
Bradi5g25827.1 554 361 97 327 770 408 331 511
Bradi5g25840.1 89 136 20 82 363 154 101 112
Bradi5g25850.8 548 517 77 305 1035 515 359 424
Bradi5g25860.1 478 808 103 480 1993 495 341 413
Bradi5g25870.2 1305.108 772.173 105 696.218 1650.683 710.733 583.641 949.502
Bradi5g25880.1 26 35 14 44 188 89 31 27
Bradi5g25890.2 0 0 0 1 21 9 0 1
Bradi5g25900.1 378 466 145 380 2653 424 281 645
Bradi5g25905.1 0 2 0 2 1 3 0 1
Bradi5g25910.5 165 173 50 244 675 443 345 341
Bradi5g25920.1 83 109 11 65 247 86 65 68
Bradi5g25930.2 1963 1281 152 982 2356 1066 789 1217
Bradi5g25941.1 16 0 6 5 7 15 2 7
Bradi5g25945.1 8 2 1 10 17 1 13 13
Bradi5g25947.1 0 0 0 0 4 0 0 0
Bradi5g25950.2 38 39 25 68 133 93 50 81
Bradi5g25960.1 253.839 232.998 32.014 149.999 412.628 256.999 182.742 256.01
Bradi5g25970.1 1314 1739 278 895 3741 1412 832 1034
Bradi5g25980.2 308 231 28 188 705 208 166 209
Bradi5g25983.1 35 15 1 27 33 10 17 13
Bradi5g25987.1 0 1 0 0 17 4 0 0
Bradi5g26000.1 502 459 125 298 711 696 516 417
Bradi5g26010.1 0 0 0 1 3 0 0 0
Bradi5g26017.4 1785 789 108 915 2014 746.995 666 1509
Bradi5g26023.1 1317 1155 206 1297 2904 1204 672 777
Bradi5g26030.1 1346 851 124 789 1837 1028 785 1313
Bradi5g26040.3 24 20 2 40 34 33 34 21
Bradi5g26047.1 601 401 62 401 1054 550 473 646
Bradi5g26060.1 99 123 65 166 435 173 96 126
Bradi5g26070.1 13 11 0 10 15 27 19 28
Bradi5g26080.1 211 192 26 158 550 272 179 197
Bradi5g26090.1 126 148 81 217 372 288 194 358
Bradi5g26100.3 14 1 0 0 7 3 2 4
Bradi5g26110.1 652 395 91 477 1057 569 327 508
Bradi5g26120.1 293 180 21 177 444 173 179 204
Bradi5g26130.1 0 3 2 2 1 6 0 1
Bradi5g26140.1 3105 2779 579 2324 6407 2648 1786 2941
Bradi5g26150.1 7 1 1 11 2 7 0 8
Bradi5g26160.1 51 52 51 17 378 56 5 4
Bradi5g26165.1 0 0 5 0 5 10 0 8
Bradi5g26170.5 35 6 30 33 35 28 25 71
Bradi5g26180.1 0 0 0 2 4 5 3 6
Bradi5g26190.14 1150 787 107 886 1971 1094 751 1289
Bradi5g26197.1 112 129 11 72 326 141 65 161
Bradi5g26210.3 0 1 0 0 22 0 5 5
Bradi5g26217.1 479 573 215 564 1432 898 517 979
Bradi5g26230.1 1904 909 948 2496 3759 1220 725 1776
Bradi5g26231.1 467 313 34 191 523 336 198 212
Bradi5g26234.1 0 0 0 0 0 0 0 0
Bradi5g26235.1 0 0 0 1.153 0 8 0 0
Bradi5g26236.1 0 0 0 0 0 0 0 0
Bradi5g26237.2 0 2 0 7.847 16 0 2 4
Bradi5g26238.2 0 0 0 0 7 0 2 2
Bradi5g26239.1 0 1 0 0 0 22 9 11
Bradi5g26240.1 3 41 12 24 158 37 10 47
Bradi5g26250.1 190 92 15 128 237 160 108 223
Bradi5g26260.3 169 184 33 123 429 185 127 171
Bradi5g26270.2 126 77 5 66 108 111 76 85
Bradi5g26280.3 782 574 118 615 1338 818 537 774
Bradi5g26287.1 1299 1069 115 488 1934 694 426 611
Bradi5g26300.3 16 3 0 0 6 12 4 4
Bradi5g26310.5 185 112 40 154 232 232 152 222
Bradi5g26320.1 544 1290 149 280 712 1436 993 1070
Bradi5g26326.1 0 0 0 0 0 0 0 0
Bradi5g26332.1 0 0 0 0 0 0 0 0
Bradi5g26340.1 703 649 176 492 1207 741 418 567
Bradi5g26350.4 209 174 42 111 429 216 145 259
Bradi5g26360.1 227 237 27 180 440 222 147 245
Bradi5g26366.1 0 0 0 0 4 0 0 0
Bradi5g26370.1 0 0 0 0 2 0 0 0
Bradi5g26375.1 9 2.75 0 3 11.377 0 0 0
Bradi5g26380.1 0 1 0 22 69 0 0 0
Bradi5g26385.1 0 0 0 0 0 0 0 0
Bradi5g26400.1 427.978 411.537 100.884 410.832 1217.198 847.516 595.688 504.486
Bradi5g26410.1 5278 3513 598 2900 7947 2961 2093 2707
Bradi5g26420.1 412 189 48 287 527 407 306 475
Bradi5g26435.1 333 215 45 169 450 113 137 268
Bradi5g26450.1 404 459 68 366 869 407 358 611
Bradi5g26460.1 996.544 762.998 186 552 1534.551 992.999 523 744.849
Bradi5g26467.1 27.579 30.031 14.738 43.1 67.72 73.315 32.873 34.734
Bradi5g26480.3 785.421 560.969 124.262 462.9 2353.28 620.685 359.127 666.266
Bradi5g26490.1 219 179 41 55 281 202 116 52
Bradi5g26500.1 1049 880 173 706 2837 1542 764 1215
Bradi5g26510.11 38 33 7 27 78 3 20 7
Bradi5g26520.2 197 108 16 62 189 89 77 58
Bradi5g26531.1 0 15.087 0 3 21.046 12.958 9.061 17
Bradi5g26541.1 281.974 216.987 28 170 633.509 298.043 182.939 319.002
Bradi5g26550.1 1412 555 141 1346 2414 1140 778 1540
Bradi5g26560.4 524 409 138 349 885 574 347 428
Bradi5g26567.1 365 323 78 855 1674 529 378 389
Bradi5g26580.1 2089 1564 180 1524 4266 1749 1199 1752
Bradi5g26587.6 177 127 10 130 357 86 63 71
Bradi5g26600.1 509 433 180 423 1293 613 388 750
Bradi5g26610.1 535 370 180 558 2536 625 219 461
Bradi5g26620.1 203 169 107 265 481 283 144 477
Bradi5g26640.1 12 6 5 2 21 14 2 6
Bradi5g26650.1 61 46 30 93 289 103 62 41
Bradi5g26660.1 115 97 56 98 395 168 100 162
Bradi5g26670.1 585 254 34 367 813 443 377 618
Bradi5g26680.3 0 0 0 0 5 0 1 8
Bradi5g26700.1 1323 1115 129 685 1827 879 699 1065
Bradi5g26705.2 40 1 0 10 27.999 5.519 6 12
Bradi5g26711.1 78 80 30 88 271 53 56 60
Bradi5g26713.1 5 7 0 6 3 5 0 1
Bradi5g26718.1 17 13 0 10 32 10 7 8
Bradi5g26720.1 2273 1869 385 1760 3050 2280 1229 1783
Bradi5g26725.3 124 115 7 278 846 100 63 35
Bradi5g26730.1 1262 968 94 864 2446 949 777 1182
Bradi5g26740.6 415 324 137 342 846 338 161 321
Bradi5g26755.1 24 25 3 6 96 51 34 31
Bradi5g26760.3 0 1 0 0 5 0 0 1
Bradi5g26770.1 621 453 72 471 1195 639 329 995
Bradi5g26776.2 196 239 38 181 519.996 367.951 259.708 177.999
Bradi5g26782.1 31 43 11 31 97 59 60 52
Bradi5g26790.3 21 11 0 0 40 2 3 0
Bradi5g26800.1 0 0 0 0 3 0 0 0
Bradi5g26802.1 2675.928 1979.661 325.493 1326.276 4077.604 2177.396 1382.824 1378.407
Bradi5g26805.1 5 7 2 21 11 4 8 24
Bradi5g26807.1 22.002 5.988 0 8 31 6 18 23.998
Bradi5g26810.1 226.072 123.339 29.507 143.724 266.396 96.604 94.176 79.593
Bradi5g26812.2 323.998 273.012 32 209 531 209 193 327.002
Bradi5g26820.1 2067 969 173 1469 2353 1273 1034 1850
Bradi5g26827.1 61 45 12 42 86 41 29 37
Bradi5g26830.1 0 0 0 0 0 0 0 0
Bradi5g26832.1 77 20 8 37 100 32 27 45
Bradi5g26835.1 14 4 3 14 26 9 1 19
Bradi5g26845.1 0 0 0 0 0 0 0 0
Bradi5g26861.1 0 0 0 0 0 0 0 0
Bradi5g26867.1 298 242 22 187 624 260 176 240
Bradi5g26880.1 294 289 93 101 438 336 225 105
Bradi5g26890.1 1046 786 131 687 1741 1234 853 1008.996
Bradi5g26900.1 0 9 3 1 19 7 14 7.004
Bradi5g26907.2 140 282 49 98 539 180 124 182
Bradi5g26917.1 404 324 34 152 1019 300 163 368
Bradi5g26930.1 654.011 371 125 473.011 888.224 726.535 349 628.092
Bradi5g26941.1 0 0 0 3 0 0 0 0
Bradi5g26944.2 0 0 0 0 0 0 0 0
Bradi5g26952.2 0 0 0 0 0 0 0 0
Bradi5g26958.1 0 0 0 0 0 0 0 0
Bradi5g26961.1 0 0 0 0 0 0 0 0
Bradi5g26962.1 0 0 0 0 0 0 0 0
Bradi5g26963.4 0 0 0 0 0 0 0 0
Bradi5g26964.1 0 0 0 0 0 0 0 0
Bradi5g26965.1 0 0 0 0 0 0 0 0
Bradi5g26972.1 0 0 0 0 0 0 0 0
Bradi5g26980.1 0 0 0 0 0 0 0 0
Bradi5g26983.1 1564.563 1028.442 96.828 949.927 2395.415 994.09 894.199 1241.911
Bradi5g26987.1 0 0 0 0 0 0 0 0
Bradi5g27020.1 167 261 33 104 390 278 172 190
Bradi5g27030.1 1155 1031 116 639 2084 1144 702 1032
Bradi5g27040.1 473 255 247 470 760 554 324 687
Bradi5g27050.2 449 449 82 267 880 446 347 339
Bradi5g27053.1 0 0 0 0 0 0 0 0
Bradi5g27057.1 0 25 0 11 32 14 5 5
Bradi5g27061.1 0 25 4 7 31 10 23 5
Bradi5g27065.1 0 1 3 0 1 0 1 0
Bradi5g27069.1 811 585 84 321 1038 766 708 1103
Bradi5g27073.1 8 26 1 14 39 13 36 26
Bradi5g27082.1 0 24 1 5 18 25 13 24
Bradi5g27086.1 4 42 3 24 90 37 21 26
Bradi5g27090.6 191.624 267.943 25 195.677 628.838 253.147 138.383 318.148
Bradi5g27100.2 83 119 10 62 133 129 58 83
Bradi5g27105.1 0 0 0 0 0 0 0 0
Bradi5g27110.2 2738.049 2126 318 1482 3482 1559.99 1070 1780
Bradi5g27120.1 126 87 17 122 261 102 60 144
Bradi5g27130.1 107 110 14 38 184 58 16 14
Bradi5g27140.1 31 23 1 11 83 46 21 44
Bradi5g27150.1 0 0 0 7 0 23 204 0
Bradi5g27160.2 0 16 27 88 19 219 1871 5
Bradi5g27170.1 0 0 0 2 0 0 34 0
Bradi5g27180.1 0 0 0 0 0 0 0 0
Bradi5g27190.1 0 0 0 0 0 0 0 0
Bradi5g27200.1 0 0 0 0 1 0 3.001 2.001
Bradi5g27210.1 35 57 26 42 238 108 157 130
Bradi5g27220.1 1136 1050 395 1183 2878 1800 3517.999 1142.999
Bradi5g27230.4 0 10 0 0 9 0 1 0
Bradi5g27240.1 149 118 5 70 166 96 84 98
Bradi5g27251.1 0 0 0 0 0 0 0 0
Bradi5g27260.1 1656 1218 541 1753 3882 2024 1517 2464
Bradi5g27270.5 171 65 27 114 252.18 122 71.05 89.037
Bradi5g27280.3 45 13 4 11 22 27 13 27
Bradi5g27285.1 0 0 0 0 0 0 0 0
Bradi5g27290.1 132 107 26 66 174 113 152 88
Bradi5g27300.1 0 0 0 1 0 3 0 0
Bradi5g27312.1 0 0 0 0 0 0 0 0
Bradi5g27320.2 23 14.001 9 33 50.157 38.467 16 42.595
Bradi5g27327.1 0 8 0 4 0 0 0 0
Bradi5g27330.3 37 105 0 71 83 61 15 4
Bradi5g27340.1 366.881 1219.286 64.356 251.959 662.465 282.7 151.284 162.075
Bradi5g27350.3 132 821.129 55 16 682.345 74 94 85
Bradi5g27360.1 229 143 70 185 424 246 131 177
Bradi5g27367.2 740 455 49 282 904 501 342 452
Bradi5g27377.2 339 124 23 146 302 204 199 170
Bradi5g27390.3 150 150 50 185 345 270 125 203
Bradi5g27400.2 180 74 15 60 135 98 59 73
Bradi5g27410.1 807 528 62 469 1333 595 374 523
Bradi5g27414.1 364 259 71 257 598 269 140 245
Bradi5g27417.2 0 0 0 0 0 0 0 0
Bradi5g27421.1 0 0 0 0 0 0 0 0
Bradi5g27424.1 0 0 0 0 0 0 0 0
Bradi5g27426.2 0 0 0 0 0 0 0 0
Bradi5g27430.4 1603 1162 350 1116 3359 1150 665 898
Bradi5g27445.1 0 5 0 0 0 1 0 2
Bradi5g27460.1 615 336 50 363 984 347 339 534
Bradi5g27467.4 111 163 18 81 221 99 40 48
Bradi5g27480.2 320.709 214.125 27.306 204.441 525.448 292.358 241.588 393.778
Bradi5g27490.1 1131.291 763.875 222.694 577.559 1331.552 968.642 638.412 964.222
Bradi5g27500.1 2090 1304 136 1110 2646 1329 1016 1608
Bradi5g27505.2 0 0 0 0 0 0 0 0
Bradi5g27509.1 0 0 0 0 0 0 0 0
Bradi5g27513.1 1602 1603 1146 1694 4546 2996 1990 2733
Bradi5g27517.5 1221 661 85 750 1631 720 607 946
Bradi5g27530.1 1156 509 376 1222 1661.999 930 1002 1604
Bradi5g27540.5 103 61 19 146 307 69 74 87
Bradi5g27550.1 1282 1284 185 870 3227 1354 755 1069
Bradi5g27560.1 879 705 129 414 1704 927 549 611
Bradi5g27570.1 1860 1055 315 1464 2716 2275 1261 1871
Bradi5g27575.3 0 0 0 0 3 7 4 2
Bradi5g27580.2 415 332 38 206 698 272 221 252
Bradi5g27590.1 286 184 19 214 453 204 160 217
Bradi5g27596.1 414 248 74 338 684 525 374 689
Bradi5g27602.1 149 134 114 173 414 189 99 116
Bradi5g27610.4 426 164 21 207 511 308 209 284
Bradi5g27617.1 277 266 56 254 770 383 237 495
Bradi5g27630.1 231 168 34 166 381 226 140 212
Bradi5g27640.1 660 467 64 542 1287 502 324 680
Bradi5g27650.1 158 32 38 91 166 81 51 144
Bradi5g27660.1 0 2 0 0 8 0 0 1
Bradi5g27670.1 855 900 144 643 2110 1048 501 606
Bradi5g27675.1 101 57 96 172 181 195 53 227
Bradi5g27680.1 0 0 0 0 0 0 0 0
Bradi5g27687.1 218 272 31 14 169 108 48 85
Bradi5g27691.3 0 11 0 0 9 0 16 3
Bradi5g27695.2 207.512 64.998 10.739 302.716 422.921 225.256 205.841 364.496
