HJ8s_33_S1 HJ28s_17_S3 HJ35_22s_34 HJ100s_26_S5 HJ154s_28_S6 HJ170s_35_S7 HJ172s_31_S8 HJ183s_32_S9
Bradi1g02145.3 83 89 16 38 150.001 80 85 63
Bradi1g02150.1 77 76.94 25 124.614 282.55 106 62 101.951
Bradi1g02160.1 1183 809.755 135 391.386 1389.524 739.001 490 562.049
Bradi1g02165.1 0 0 0 0 0 0 0 0
Bradi1g02170.1 731.989 742 124 447 1477 718 525 597
Bradi1g02180.1 656 540 53 246 846 393 277 333
Bradi1g02185.1 0 3 0 0 1 8 7 3
Bradi1g02200.1 0 3 9 0 2 10 0 1
Bradi1g02202.1 0 0 0 0 0 1 0 0
Bradi1g02205.2 0 0 0 0 0 3 9 0
Bradi1g02210.1 64 96 16 30 216 71 18 42
Bradi1g02220.2 1008 825 199 839 2490 967 691 972
Bradi1g02230.1 0 26 4 33 75 58 21 31
Bradi1g02240.2 0 2 0 0 0 0 0 1
Bradi1g02247.5 306 180 58 130 542 196 146 206
Bradi1g02260.1 281 159 24 199 393 273 235 166
Bradi1g02270.1 2493 1572 526 1778 3294 2232 1277 1891
Bradi1g02273.1 49 10 0 23 45 35 14 11
Bradi1g02280.3 1182 613 110 666 1371 701 458 791
Bradi1g02290.1 32 13 13 10 42 13 27 20
Bradi1g02300.1 5 60 16 24 116 38 4 7
Bradi1g02303.1 0 22 0 19 52 38 10 33
Bradi1g02304.1 8 1 0 0 13 10 3 2
Bradi1g02305.1 0 3 0 2 0 0 0 2
Bradi1g02310.7 1997.987 1898.794 284 1179.999 4280.357 1942.633 1274.677 1377.999
Bradi1g02327.1 13.013 18.171 4 4.564 30.036 4.921 13 4.505
Bradi1g02338.1 0 1 0 3 15 2 1 6
Bradi1g02350.2 455.426 382.067 66.072 277.625 602.871 362.746 260.796 444.979
Bradi1g02361.2 0 0 0 0 0 0 0 0
Bradi1g02370.1 29 52 0 34 117 39 62 45
Bradi1g02380.1 969 756 71 510 1773 594 433 564
Bradi1g02390.1 381 598 122 398 1216 449 353 377
Bradi1g02400.4 544 459 53 335 847 324 235 296
Bradi1g02410.1 74 0 0 2 0 0 2 0
Bradi1g02420.1 121 422 73 116 411 110 124 190
Bradi1g02430.1 0 0 0 0 2 0 0 0
Bradi1g02440.1 713 534 130 562 1509 648 335 491
Bradi1g02450.3 646 299 42 569 1183 438 313 526
Bradi1g02460.1 38 85 16 57 221 96 91 64
Bradi1g02465.1 0 0 0 0 0 3 0 0
Bradi1g02470.1 0 0 0 0 0 0 0 0
Bradi1g02475.1 0 0 0 0 0 0 0 0
Bradi1g02480.1 528.043 172.348 22.765 194.17 423.415 170.842 143.138 271.781
Bradi1g02487.1 0 0 0 0 0 0 0 0
Bradi1g02490.1 1245 750 112 599 1436 784 721 779
Bradi1g02497.2 0 1 0 0 0 0 0 0
Bradi1g02505.1 9 32 7 2 41 39 39 43
Bradi1g02510.3 12823 6423.696 1220 11550 22929.708 8748.998 6855 14761.668
Bradi1g02517.2 59 94 13 67 162 82 72 87
Bradi1g02530.1 3 27 3 22 73 17 18 32
Bradi1g02535.1 305.972 171.997 46 168.986 525.986 164.003 94 193
Bradi1g02540.1 98.028 121.003 12 59.014 167.014 61.997 41 64
Bradi1g02550.1 516 494 233 640 1756 620 477 604
Bradi1g02560.1 192 378 64 207 759 306 108 234
Bradi1g02570.2 2361 2327 542 1685 7213 2667 1311 1478
Bradi1g02575.1 0 1 0 0 1 3 0 1
Bradi1g02580.2 3471 3168 484 2167.001 7147.981 3068 1497 2774
Bradi1g02590.2 1410 1667 448 1006 3400 1683 1275 1169
